2025-10-28 12:48:12,898 - INFO - Analyzing 6 molecules
2025-10-28 12:48:12,902 - DEBUG - Loaded backend agg version v2.2.
2025-10-28 12:48:12,915 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/google-noto/NotoSansTaiTham-Regular.ttf', name='Noto Sans Tai Tham', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-10-28 12:48:12,915 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/abattis-cantarell/Cantarell-Oblique.otf', name='Cantarell', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-10-28 12:48:12,915 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/stix/STIX-Bold.otf', name='STIX', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-10-28 12:48:12,915 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuSansCondensed-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='condensed', size='scalable')) = 0.5349999999999999
2025-10-28 12:48:12,915 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/paratype-pt-sans/PTS55F.ttf', name='PT Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-10-28 12:48:12,915 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/google-noto/NotoSansTaiViet-Regular.ttf', name='Noto Sans Tai Viet', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-10-28 12:48:12,915 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/julietaula-montserrat/MontserratAlternates-Black.otf', name='Montserrat Alternates', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2025-10-28 12:48:12,915 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/julietaula-montserrat/Montserrat-BoldItalic.otf', name='Montserrat', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-10-28 12:48:12,915 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/abattis-cantarell/Cantarell-BoldOblique.otf', name='Cantarell', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-10-28 12:48:12,915 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/julietaula-montserrat/Montserrat-SemiBoldItalic.otf', name='Montserrat', style='italic', variant='normal', weight=600, stretch='normal', size='scalable')) = 11.24
